# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
ban che 	班車	c=1 d=0.000403635 t=127284
ban cheng pin 	半成品	c=1 d=9.69094e-14 t=127284
ban dao 	半道	c=1 d=2.49542e-23 t=127284
ban diao zi 	半吊子	c=1 d=0.0190631 t=127284
ban ding 	頒訂	c=3 d=0.0752857 t=127284
ban fa 	辦法	c=17 d=0.88692 t=127284
ban ge 	半個	c=1 d=0.000149594 t=127284
ban ge duo 	半個多	c=1 d=0.00150344 t=127284
ban ge xiao shi 	半個小時	c=1 d=1.83943e-23 t=127284
ban ge yue 	半個月	c=1 d=1.28289e-19 t=127284
ban gong 	辦公	c=1 d=0.0507928 t=127284
ban gong shi 	辦公室	c=1 d=0.860708 t=127284
ban hui 	半會	c=1 d=0.412714 t=127284
ban ji 	班級	c=4 d=3.26775 t=127284
ban jiao 	半角	c=3 d=1.82337e-40 t=127284
ban jiao a 	半角啊	c=1 d=1.53507e-42 t=127284
ban jie 	半節	c=1 d=2.74038e-07 t=127284
ban nian 	半年	c=1 d=4.70171e-05 t=127284
ban ping 	半屏	c=1 d=0.000508015 t=127284
ban ping 	扳平	c=1 d=0.000505481 t=127284
ban quan 	版權	c=1 d=3.07436e-07 t=127284
ban tian 	半天	c=12 d=0.814655 t=127284
ban tu 	班圖	c=0 d=4.89359e-06 t=127284
ban yan 	扮演	c=7 d=0.00600598 t=127284
ban ye 	半夜	c=1 d=0.704688 t=127284
ban zai 	板載	c=2 d=3.43125e-05 t=127284
ban zi 	板子	c=2 d=0.0122426 t=127284
ban zi 	班子	c=2 d=0.421602 t=127284
ban zi shang 	板子上	c=1 d=0.00856561 t=127284
bang 	幫	c=2 d=0.000742862 t=127284
bang 	榜	c=9 d=0.000534061 t=127284
bang bang 	幫幫	c=0 d=1.68696e-06 t=127284
bang bang wo 	幫幫我	c=1 d=1.69541e-05 t=127284
bang ding 	綁定	c=29 d=0.957862 t=127284
bang mang 	幫忙	c=3 d=0.0194482 t=127284
bang ni 	幫你	c=2 d=0.263158 t=127284
bang shang 	榜上	c=1 d=5.21585e-20 t=127284
bang wan 	傍晚	c=1 d=3.04325e-05 t=127284
bang wo 	幫我	c=87 d=3.8221 t=127284
bang zhu 	幫助	c=6 d=0.293336 t=127284
bang zhu wo 	幫助我	c=1 d=0.782705 t=127284
bao 	保	c=2 d=0.0531307 t=127284
bao 	包	c=169 d=3.34359 t=127284
bao 	報	c=8 d=0.302704 t=127284
bao 	抱	c=2 d=0.909373 t=127284
bao 	爆	c=3 d=1.3814e-07 t=127284
bao 	胞	c=1 d=0.00970611 t=127284
bao an 	保安	c=2 d=0.000572785 t=127284
bao chi 	保持	c=15 d=0.0845849 t=127284
bao cun 	保存	c=74 d=3.28784 t=127284
bao cun de 	保存的	c=2 d=0.0675424 t=127284
bao cuo 	報錯	c=54 d=1.07206 t=127284
bao da 	暴打	c=16 d=5.73369 t=127284
bao dian 	寶典	c=0 d=5.00877e-15 t=127284
bao fu 	包袱	c=1 d=0.207008 t=127284
bao fu 	報復	c=0 d=0.000271219 t=127284
bao fu wo 	報復我	c=1 d=0.00272578 t=127284
bao gao 	報告	c=70 d=2.48651 t=127284
bao gao ce 	報告測	c=1 d=0.0135686 t=127284
bao gao zhong 	報告中	c=1 d=0.00532682 t=127284
bao guan 	保管	c=1 d=0.00449405 t=127284
bao guan li 	包管理	c=10 d=1.03629 t=127284
bao guan li qi 	包管理器	c=4 d=0.359245 t=127284
bao guang 	曝光	c=1 d=1 t=124284
bao guo 	包裹	c=19 d=0.66519 t=127284
bao ha 	包哈	c=1 d=1.21593e-06 t=127284
bao han 	包含	c=128 d=2.93417 t=127284
bao han le 	包含了	c=4 d=1.22203e-06 t=127284
bao hao 	包好	c=0 d=1.57344e-10 t=127284
bao hao kan 	包好看	c=1 d=1.58133e-09 t=127284
bao he 	飽和	c=7 d=1.50859 t=127284
bao hen 	抱恨	c=1 d=0.138069 t=127284
bao hu 	保護	c=8 d=0.950857 t=127284
bao hu fei 	保護費	c=2 d=7.2347e-25 t=127284
bao huo 	保活	c=1 d=0.0520787 t=127284
bao kuo 	包括	c=41 d=1.28416 t=127284
bao le 	報了	c=3 d=0.0640186 t=127284
bao liu 	保留	c=37 d=1.21501 t=127284
bao liu zi 	保留字	c=1 d=0.00104891 t=127284
bao lu 	暴露	c=5 d=0.258115 t=127284
bao ming 	包名	c=2 d=4.08038e-14 t=127284
bao po 	爆破	c=2 d=6.05622e-05 t=127284
bao qian 	抱歉	c=9 d=0.00748391 t=127284
bao shi 	寶石	c=1 d=5.43536e-05 t=127284
bao shou 	保守	c=1 d=0.100259 t=127284
bao ta 	寶塔	c=1 d=0.107528 t=127284
bao tun qun 	包臀裙	c=2 d=1.67706 t=124509
bao wen 	報文	c=7 d=1.56456 t=127284
bao xiang 	寶箱	c=1 d=4.77276e-05 t=127284
bao yan 	保研	c=1 d=3.06746e-10 t=127284
bao ying 	報應	c=1 d=2.60939e-19 t=127284
bao you 	包郵	c=1 d=1.79835e-22 t=127284
bao you 	抱有	c=1 d=2.8131e-21 t=127284
bao zha 	爆炸	c=1 d=3.80971e-30 t=127284
bao zhen 	保真	c=1 d=5.09503e-09 t=127284
bao zheng 	保證	c=18 d=0.472433 t=127284
bao zheng bu liao 	保證不了	c=1 d=7.78643e-28 t=127284
bao zhuang 	包裝	c=5 d=0.867446 t=127284
bao zi 	包子	c=9 d=0.0530066 t=127284
bao zuo 	寶座	c=1 d=0.467666 t=127284
bei 	倍	c=5 d=0.0477677 t=127284
bei 	唄	c=8 d=0.369274 t=127284
bei 	悲	c=2 d=1.04546e-14 t=127284
bei 	背	c=1 d=0.0098528 t=127284
bei 	被	c=335 d=1.67662 t=127284
bei an 	備案	c=3 d=0.481909 t=127284
bei bei 	背背	c=1 d=7.32052e-08 t=127284
bei fang 	北方	c=3 d=1.47442 t=127284
bei fen 	備份	c=20 d=1 t=127284
bei hou 	背後	c=2 d=2.09843e-14 t=127284
bei ji 	北極	c=1 d=0.000173384 t=127284
bei ji quan 	北極圈	c=6 d=0.0799805 t=127284
bei jing 	背景	c=42 d=2.8567 t=127284
bei jing na ge 	背景那個	c=1 d=0.0383884 t=127284
bei jing se 	背景色	c=3 d=0.282239 t=127284
bei kao 	背靠	c=1 d=9.41253e-24 t=127284
bei le 	背了	c=1 d=7.93157e-10 t=127284
bei lv 	倍率	c=10 d=0.0588871 t=127284
bei ren 	被人	c=2 d=0.522046 t=127284
bei shan chu 	被刪除	c=2 d=1.23133e-07 t=127284
bei wo 	被我	c=2 d=0.140858 t=127284
bei yong 	備用	c=2 d=0.423162 t=127284
bei yuan 	北苑	c=1 d=0.000274654 t=127284
bei zhu 	備註	c=2 d=4.0169e-06 t=127284
bei zi 	被子	c=0 d=1.08307e-28 t=127284
ben 	本	c=19 d=1.5741 t=127284
ben ci 	本次	c=21 d=2.52882 t=127284
ben dan yuan 	本單元	c=1 d=0.117655 t=127284
ben di 	本地	c=116 d=1.56818 t=127284
ben fang 	奔放	c=1 d=1.05217e-10 t=127284
ben fen 	本分	c=1 d=4.9495e-21 t=127284
ben ji 	本機	c=7 d=0.218712 t=127284
ben jie 	本節	c=1 d=2.63427e-13 t=127284
ben ke 	本科	c=2 d=9.87998e-06 t=127284
ben lai 	本來	c=34 d=1.04501 t=127284
ben lai shi 	本來是	c=1 d=6.30083e-08 t=127284
ben le 	笨了	c=1 d=0.00932553 t=127284
ben nian 	本年	c=2 d=4.17855e-20 t=127284
ben pian 	本片	c=0 d=2.80975e-08 t=127284
ben pian tie 	本片貼	c=1 d=2.82383e-07 t=127284
ben ren 	本人	c=1 d=0.00408677 t=127284
ben shen 	本身	c=22 d=0.491669 t=127284
ben sheng 	本省	c=1 d=1.56341e-22 t=127284
ben shi 	本事	c=2 d=0.00514361 t=127284
ben tie 	本帖	c=1 d=2.83799e-07 t=127284
ben xiao 	本校	c=1 d=8.09042e-08 t=127284
ben xue qi 	本學期	c=2 d=1.03821e-07 t=127284
ben zhan 	本站	c=11 d=0.763379 t=127284
ben zhang 	本章	c=1 d=4.04735e-36 t=127284
ben zhi 	本質	c=9 d=0.0658851 t=127284
ben zu 	本組	c=5 d=0.00240848 t=127284
beng 	泵	c=0 d=7.53936e-32 t=127284
beng 	蹦	c=1 d=4.71437e-66 t=127284
beng bu zhu 	泵不住	c=1 d=7.57716e-31 t=127284
beng fang 	蹦放	c=1 d=0.0155297 t=127284
beng ku 	泵庫	c=2 d=0.151061 t=127284
beng kui 	崩潰	c=15 d=0.866855 t=127284
beng kui le 	崩潰了	c=1 d=0.425283 t=127284
beng le 	蹦了	c=1 d=8.14925e-05 t=127284
bi 	必	c=1 d=3.50116e-07 t=127284
bi 	比	c=69 d=1.69801 t=127284
bi 	筆	c=3 d=5.51938e-09 t=127284
bi bao 	閉包	c=1 d=9.64753e-20 t=127284
bi bei 	必備	c=4 d=0.000337144 t=127284
bi duan 	弊端	c=2 d=3.15218e-07 t=127284
bi ji 	筆記	c=6 d=0.106992 t=127284
bi ji ben 	筆記本	c=25 d=0.970533 t=127284
bi jiao 	比較	c=148 d=2.14677 t=127284
bi jiao da 	比較大	c=2 d=1.15982e-09 t=127284
bi jiao di 	比較低	c=1 d=0.00120052 t=127284
bi jiao duo 	比較多	c=1 d=0.0566989 t=127284
bi jiao gao 	比較搞	c=1 d=2.31275e-11 t=127284
bi jiao gui 	比較貴	c=1 d=1.64699e-17 t=127284
bi jiao hao 	比較好	c=5 d=0.0224829 t=127284
bi jing 	畢竟	c=11 d=0.0490458 t=127284
bi jing shi 	畢竟是	c=1 d=1 t=125821
bi li 	比例	c=7 d=0.307279 t=127284
bi mian 	避免	c=11 d=0.197899 t=127284
bi mian le 	避免了	c=1 d=1.83306e-41 t=127284
bi ni 	比你	c=0 d=4.09874e-09 t=127284
bi niu er 	鼻牛兒	c=0 d=2.22048e-33 t=127284
bi niu er di 	鼻牛兒第	c=1 d=2.23161e-32 t=127284
bi po 	逼迫	c=1 d=0.125556 t=127284
bi ran 	必然	c=3 d=0.644036 t=127284
bi ren 	逼人	c=1 d=5.0933e-05 t=127284
bi ru 	比如	c=55 d=1.30557 t=127284
bi te 	比特	c=6 d=0.460704 t=127284
bi te xu 	比特序	c=1 d=2.6874e-42 t=127284
bi ti 	鼻涕	c=1 d=0.0867261 t=127284
bi tian 	必填	c=2 d=0.00530026 t=127284
bi wo 	比我	c=2 d=2.59417e-09 t=127284
bi wu 	筆誤	c=1 d=0.0107269 t=127284
bi xu 	必需	c=1 d=4.22501e-12 t=127284
bi xu 	必須	c=112 d=1.77425 t=127284
bi xu qu 	必須去	c=1 d=3.88944e-09 t=127284
bi xuan 	必選	c=2 d=0.0102037 t=127284
bi yao 	必要	c=13 d=0.966257 t=127284
bi yao xing 	必要性	c=1 d=0.00697795 t=127284
bi ye she ji 	畢業設計	c=1 d=8.3786e-08 t=127284
bi ye sheng 	畢業生	c=1 d=1 t=124984
bi yuan 	閉源	c=7 d=0.0228318 t=127284
bi zhi 	壁紙	c=4 d=0.720904 t=127284
bi zi 	鼻子	c=2 d=0.0246597 t=127284
bian 	便	c=1 d=0.000143382 t=127284
bian 	變	c=18 d=2.23702 t=127284
bian 	遍	c=2 d=1.09426e-13 t=127284
bian 	邊	c=7 d=3.41726e-08 t=127284
bian bie 	辨別	c=2 d=1.69132e-06 t=127284
bian cheng 	編成	c=3 d=2.43367e-17 t=127284
bian cheng 	編程	c=99 d=2.0806 t=127284
bian cheng 	變成	c=17 d=0.318224 t=127284
bian cheng le 	變成了	c=2 d=0.537944 t=127284
bian cheng ne gai 	編程呢該	c=1 d=0.318224 t=127284
bian cheng yu yan 	編程語言	c=1 d=4.20179e-06 t=127284
bian da 	變大	c=1 d=2.78852e-06 t=127284
bian de 	變得	c=5 d=0.170333 t=127284
bian dong 	變動	c=1 d=4.91712e-32 t=127284
bian gao 	變高	c=1 d=1.55885e-17 t=127284
bian geng 	變更	c=1 d=0.00477195 t=127284
bian hao 	編號	c=17 d=0.822835 t=127284
bian hua 	變化	c=17 d=0.0160829 t=127284
bian huan 	變換	c=2 d=0.00609675 t=127284
bian ji 	編輯	c=23 d=1.34066 t=127284
bian ji kuang 	編輯框	c=8 d=0.00164502 t=127284
bian ji qi 	編輯器	c=47 d=0.165131 t=127284
bian jie 	便捷	c=1 d=0.0194482 t=127284
bian jie 	邊界	c=2 d=1.07849 t=127284
bian jing 	辯經	c=1 d=0.806541 t=127284
bian ju 	邊距	c=11 d=0.71182 t=127284
bian kuang 	邊框	c=20 d=0.0310429 t=127284
bian lai 	變來	c=0 d=1.89874e-15 t=127284
bian lai bian qu 	變來變去	c=1 d=0.97531 t=127284
bian lai gong neng 	變來功能	c=1 d=1.90826e-14 t=127284
bian le 	變了	c=3 d=0.0500366 t=127284
bian li 	遍歷	c=18 d=0.0608101 t=127284
bian li dao 	遍歷到	c=1 d=3.83349e-15 t=127284
bian lian 	變臉	c=1 d=3.81437e-15 t=127284
bian liang 	變量	c=248 d=3.03501 t=127284
bian liang gei 	變量給	c=1 d=5.93692e-14 t=127284
bian ma 	編碼	c=37 d=0.454187 t=127284
bian ma qi 	編碼器	c=1 d=1 t=124919
bian shen 	變身	c=1 d=0.895834 t=127284
bian tai 	變態	c=2 d=1.19365e-13 t=127284
bian ti 	變體	c=1 d=1.03664e-41 t=127284
bian wei 	變爲	c=7 d=0.0761538 t=127284
bian xiao 	變小	c=2 d=0.000688218 t=127284
bian xie 	編寫	c=29 d=1.24527 t=127284
bian xie de 	編寫的	c=1 d=0.0930145 t=127284
bian xing 	變形	c=1 d=0.00082099 t=127284
bian yi 	便宜	c=1 d=8.58869e-64 t=127284
bian yi 	編譯	c=87 d=1.8509 t=127284
bian yi bu guo 	編譯不過	c=1 d=1.30836e-15 t=127284
bian yi qi 	編譯器	c=42 d=0.963767 t=127284
bian yi qi 	编译期	c=13 d=0.507537 t=127284
bian yi yuan li 	編譯原理	c=3 d=7.87314e-05 t=127284
biao 	標	c=2 d=0.548812 t=127284
biao 	表	c=137 d=1.77838 t=127284
biao da 	表達	c=1 d=0.00207043 t=127284
biao da shi 	表達式	c=45 d=2.97105 t=127284
biao dan 	表單	c=4 d=0.000117979 t=127284
biao dian 	標點	c=1 d=7.60995e-23 t=127284
biao ge 	表格	c=28 d=0.625002 t=127284
biao hai zi 	表孩子	c=1 d=1.88433e-42 t=127284
biao hao 	標號	c=1 d=1.29556e-17 t=127284
biao hong zun 	表虹鱒	c=1 d=0.00124328 t=127284
biao ji 	標記	c=14 d=0.299231 t=127284
biao jun 	表均	c=1 d=0.238115 t=127284
biao kong jian 	表空間	c=4 d=2.04332 t=127284
biao mian 	表面	c=1 d=4.45298e-42 t=127284
biao ming 	表明	c=7 d=1.19555e-13 t=127284
biao qi 	標齊	c=0 d=3.2409e-11 t=127284
biao qi na 	標齊那	c=2 d=7.46038e-10 t=127284
biao qian 	標籤	c=35 d=0.155519 t=127284
biao qing 	表情	c=0 d=0.00105145 t=127284
biao qing bao 	表情包	c=4 d=0.0327304 t=127284
biao sheng 	飆升	c=3 d=0.023411 t=127284
biao shi 	標識	c=11 d=0.0109701 t=127284
biao shi 	表示	c=50 d=0.76275 t=127284
biao shi fu 	標識符	c=16 d=1.37286 t=127284
biao ti 	標題	c=43 d=1.95159 t=127284
biao ti lan 	標題欄	c=1 d=0.0218184 t=127284
biao tou 	表頭	c=1 d=0.398519 t=127284
biao xiang 	表項	c=1 d=5.79133e-16 t=127284
biao yue shu 	表约束	c=1 d=8.44527e-13 t=127284
biao zhi 	標誌	c=21 d=3.91177e-09 t=127284
biao zhong 	表中	c=5 d=0.0170074 t=127284
biao zhu 	標註	c=4 d=0.0129718 t=127284
biao zhun 	標準	c=77 d=1.85463 t=127284
biao zhun ge shi 	標準格式	c=1 d=1.26948e-13 t=127284
biao zhun ku 	标准库	c=14 d=1.2433 t=127284
biao zhun shu chu 	标准输出	c=1 d=5.77834e-19 t=127284
bie 	別	c=17 d=0.878095 t=127284
bie ba 	別把	c=1 d=8.46281e-08 t=127284
bie de 	別的	c=24 d=1.00234 t=127284
bie fen 	別分	c=1 d=4.34392e-15 t=127284
bie gen wo 	別跟我	c=1 d=1.24371e-07 t=127284
bie ji 	別急	c=2 d=0.771052 t=127284
bie ming 	別名	c=18 d=1.34047 t=127284
bie re 	別熱	c=1 d=0.440432 t=127284
bie ren 	別人	c=27 d=0.463013 t=127284
bie shuo 	別說	c=3 d=0.112873 t=127284
bie yong 	別用	c=2 d=5.35535e-07 t=127284
bie zhu 	別住	c=1 d=3.99687e-06 t=127284
bin gu 	髕骨	c=1 d=5.99863e-18 t=127284
bin hao 	斌號	c=1 d=3.54852e-18 t=127284
bing 	並	c=121 d=1.26385 t=127284
bing 	餅	c=1 d=4.255e-07 t=127284
bing bu 	並不	c=14 d=0.241714 t=127284
bing bu cun zai 	並不存在	c=3 d=0.0505395 t=127284
bing bu hui 	並不會	c=4 d=0.00711891 t=127284
bing bu neng 	並不能	c=1 d=2.99224e-12 t=127284
bing bu shi 	並不是	c=3 d=1.03615e-06 t=127284
bing bu tong 	並不同	c=1 d=0.0271874 t=127284
bing bu zhi 	並不知	c=1 d=3.90894e-09 t=127284
bing bu zhi dao 	並不知道	c=2 d=0.00377841 t=127284
bing du 	冰毒	c=-1 d=0 t=127284
bing du 	病毒	c=1 d=5.92261e-15 t=127284
bing fa 	併發	c=31 d=0.146044 t=127284
bing fa du 	併發讀	c=1 d=0.00453922 t=127284
bing fei 	並非	c=4 d=0.582748 t=127284
bing gan 	餅乾	c=2 d=0.329559 t=127284
bing ji 	並集	c=1 d=6.6329e-24 t=127284
bing jiao 	病嬌	c=9 d=2.44937 t=127284
bing mei you 	並沒有	c=10 d=0.814647 t=127284
bing mie you 	並咩有	c=2 d=0.159614 t=127284
bing pai 	並排	c=2 d=1.06389e-25 t=127284
bing qie 	並且	c=63 d=1.45051 t=127284
bing tong 	病痛	c=0 d=3.75299e-31 t=127284
bing tong zhi 	病痛只	c=1 d=3.7718e-30 t=127284
bing wei 	並未	c=11 d=0.382252 t=127284
bing wei gai bian 	並未改變	c=1 d=9.01215e-42 t=127284
bing xing 	並行	c=9 d=1.18906 t=127284
bing yong 	並用	c=2 d=3.08977e-07 t=127284
bing zai 	並在	c=1 d=1.40586e-37 t=127284
bing zhuang tu 	餅狀圖	c=3 d=0.898185 t=127284
bo 	博	c=1 d=0.346456 t=127284
bo 	波	c=2 d=0.900325 t=127284
bo cai 	菠菜	c=1 d=0.647265 t=127284
bo fang 	播放	c=19 d=2.28287 t=127284
bo fang zhong 	播放中	c=1 d=9.33823e-19 t=127284
bo hao 	撥號	c=1 d=0.108067 t=127284
bo huo 	柏濩	c=1 d=0.000534061 t=127284
bo ke 	伯克	c=1 d=0.0206508 t=127284
bo ke 	博客	c=20 d=0.396627 t=127284
bo la tu 	柏拉圖	c=1 d=8.45533e-27 t=127284
bo lan 	波蘭	c=2 d=0.00293808 t=127284
bo shi 	博士	c=1 d=1.63793e-11 t=127284
bo wen 	波紋	c=1 d=4.57378e-05 t=127284
bu 	不	c=276 d=2.1343 t=127284
bu 	步	c=1 d=0.380983 t=127284
bu 	補	c=4 d=0.00768126 t=127284
bu ai 	不愛	c=1 d=3.24255e-16 t=127284
bu ba 	不把	c=2 d=2.747e-06 t=127284
bu ban 	補辦	c=1 d=2.66627e-08 t=127284
bu bao han 	不包含	c=5 d=0.00118858 t=127284
bu bei 	不被	c=5 d=0.0528657 t=127284
bu bi 	不必	c=5 d=0.390628 t=127284
bu bi yao 	不必要	c=6 d=1.33763 t=127284
bu bian 	不變	c=5 d=1.28251e-15 t=127284
bu bu zhuo 	不捕捉	c=1 d=4.32593e-25 t=127284
bu cha 	不差	c=2 d=0.0992613 t=127284
bu chang 	步長	c=1 d=6.62388e-08 t=127284
bu chang 	補償	c=2 d=5.68554e-05 t=127284
bu chao guo 	不超過	c=3 d=6.38466e-07 t=127284
bu cheng 	不成	c=1 d=4.76612e-18 t=127284
bu cheng li 	不成立	c=1 d=4.54231e-11 t=127284
bu chong 	補充	c=10 d=0.398142 t=127284
bu chou 	不醜	c=1 d=2.21136e-13 t=127284
bu chu 	不出	c=2 d=5.13682e-05 t=127284
bu chu lai 	不出來	c=1 d=0.364219 t=127284
bu chu ming 	不出名	c=1 d=7.74496e-24 t=127284
bu chu xian 	不出先	c=1 d=1.89481e-19 t=127284
bu chuan di 	不傳遞	c=1 d=2.16234e-14 t=127284
bu chuang jian 	不創建	c=1 d=1.36928e-21 t=127284
bu chun jing 	不純淨	c=1 d=4.44314e-16 t=127284
bu cong 	不從	c=1 d=0.00683978 t=127284
bu cu nai 	不粗乃	c=1 d=2.43547e-31 t=127284
bu cun 	不存	c=1 d=4.09025e-13 t=127284
